Custom,Custom
Close,Close
Cancel,Cancel
Back,Back
Price,Price
ID,ID
Configure,Configure
No,No
Qty,Qty
Subtotal,Subtotal
"Incl. Tax","Incl. Tax"
Edit,Edit
"--Please Select--","--Please Select--"
Customer,Customer
"First Name","First Name"
"Last Name","Last Name"
Email,Email
"-- Please Select --","-- Please Select --"
Yes,Yes
Status,Status
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"Are you sure you want to do this?","Are you sure you want to do this?"
Order,Order
View,View
Active,Active
Position,Position
Dynamic,Dynamic
N/A,N/A
Canceled,Canceled
Instructions,Instructions
"Place Order","Place Order"
"Redirection","Redirection"
"Merchant Page","Merchant Page"
"AUTHORIZATION","AUTHORIZATION"
"PURCHASE","PURCHASE"
"SHA-1","SHA-1"
"SHA-256","SHA-256"
"SHA-512","SHA-512"
"Invalid response signature.","Invalid response signature."
"Redirecting, please wait...","Redirecting, please wait..."
"Your payment is accepted.","Your payment is accepted."
"Error: cannot create an invoice without products !","Error: cannot create an invoice without products !"
"Your payment is authorized.","Your payment is authorized."
"Unknown response status.","Unknown response status."
"Response Unknown","Response Unknown"
"Payfort has declined the payment.","Payfort has declined the payment."
"FORT Payment Method","FORT Payment Method"
"Enabled","Enabled"
"Crdit Card Title","Crdit Card Title"
"Sadad Title","Sadad Title"
"Naps Title","Naps Title"
"Language","Language"
"Merchant Identifier","Merchant Identifier"
"Access Code","Access Code"
"Hash algorithm","Hash algorithm"
"Command","Command"
"Request SHA phrase","Request SHA phrase"
"Response SHA phrase","Response SHA phrase"
"Integration Type","Integration Type"
"Sandbox mode","Sandbox mode"
"More info","More info"
"Host to Host URL","Host to Host URL"
"You have canceled the payment, please try again.", "You have canceled the payment, please try again."
"Payfort has accepted the payment.","Payfort has accepted the payment."
"Invalid response parameters.","Invalid response parameters."
"You will be redirected to the Payfort website.","You will be redirected to the Payfort website."
"You will be redirected to the Payfort website when you place an order.","You will be redirected to the Payfort website when you place an order.",
"Payfort Fort New Order","Payfort Fort New Order"
"Payfort Fort Failed","Payfort Fort Failed"
"You have canceled the payment.","You have canceled the payment."
"An error happend while processing your payment, please try again.","An error happend while processing your payment, please try again."
"Processing order #%1... Please wait.","Processing order #%1... Please wait."
"Redirecting...","Redirecting..."
"Continue Shopping","Continue Shopping"
"Store Language","Store Language"
"Error: Payment Failed, Please check your payment details and try again.","Error: Payment Failed, Please check your payment details and try again."
"Payfort New Order","Payfort New Order"
"Payfort Failed","Payfort Failed"
"Merchant Page 2.0","Merchant Page 2.0"
"Gateway Currency","Gateway Currency"
"Base Currency","Base Currency"
"Front Currency","Front Currency"
"Invalid response signature.","Invalid response signature."
"An error occurred while making the transaction. Please try again","An error occurred while making the transaction. Please try again"
"An error occurred while making the transaction. Please try again. (Error message: %s)","An error occurred while making the transaction. Please try again. (Error message: %s)"
"Response Unknown","Response Unknown"
"You have canceled the payment, please try again.","You have canceled the payment, please try again."
"Credit Card Information","Credit Card Information"
"--Please Select--","--Please Select--"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?","What is this?"
Processing...,Processing...
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Card Holder Name","Card Holder Name"
"Installments","Installments"

